month,level,score
1,0.0,-0.05376289453112326
1,0.01,0.016825002448936865
1,0.02,0.03248319896065871
1,0.03,0.038711723569778034
1,0.04,0.044648619615502816
1,0.05,0.048658398607533127
1,0.06,0.05272883919673485
1,0.07,0.05590386045700382
1,0.08,0.059304718328295536
1,0.09,0.06180093450477234
1,0.1,0.064065039573037
1,0.11,0.06545148281816794
1,0.12,0.06790999085322186
1,0.13,0.0694091734894503
1,0.14,0.07106803167684038
1,0.15,0.07277613708752087
1,0.16,0.07431237523998713
1,0.17,0.07549499778476351
1,0.18,0.07652335195048526
1,0.19,0.07815635372245684
1,0.2,0.07983830773232392
1,0.21,0.08088559141418669
1,0.22,0.08162089050540952
1,0.23,0.08263184087535863
1,0.24,0.08351401892264132
1,0.25,0.08450858324708471
1,0.26,0.08526566481424944
1,0.27,0.08631594018207962
1,0.28,0.0870392169640063
1,0.29,0.08755141653245854
1,0.3,0.08828629863830756
1,0.31,0.08900166358062277
1,0.32,0.08994099047137583
1,0.33,0.09047426761267574
1,0.34,0.09100668364357162
1,0.35,0.09161511897126232
1,0.36,0.09225293940666734
1,0.37,0.09289070752578678
1,0.38,0.09342784561560397
1,0.39,0.09395637955954267
1,0.4,0.09442762511945452
1,0.41,0.09494387304733007
1,0.42,0.09546845929686593
1,0.43,0.09619636342318791
1,0.44,0.09672653714876933
1,0.45,0.09724661813174935
1,0.46,0.0977164783316429
1,0.47,0.09820226249345873
1,0.48,0.09873552708158101
1,0.49,0.0992233827768375
1,0.5,0.09968456399964565
1,0.51,0.09997235662048971
1,0.52,0.10032864163353916
1,0.53,0.100765026855871
1,0.54,0.10127566092726109
1,0.55,0.10178796998874334
1,0.56,0.10205944177157278
1,0.57,0.10251179865957735
1,0.58,0.10280047290374511
1,0.59,0.10317952214450452
1,0.6,0.10367098940416841
1,0.61,0.10405989404955908
1,0.62,0.10446822469903236
1,0.63,0.10502129311944847
1,0.64,0.10544194279343766
1,0.65,0.10596620105803922
1,0.66,0.106389500987115
1,0.67,0.10676544273529064
1,0.68,0.10725775041149499
1,0.69,0.10767283443632844
1,0.7,0.10816858733365292
1,0.71,0.10863206616610238
1,0.72,0.10908797077566817
1,0.73,0.10956428225767617
1,0.74,0.10998317194875604
1,0.75,0.1103202554578706
1,0.76,0.11053937753949766
1,0.77,0.11088843068491225
1,0.78,0.11154396548770643
1,0.79,0.11203490293197435
1,0.8,0.11250226796651747
1,0.81,0.11296369478994917
1,0.82,0.11345941945439733
1,0.83,0.1138074363340859
1,0.84,0.11419563779545733
1,0.85,0.1148914419128499
1,0.86,0.11524238726149016
1,0.87,0.1155258063310798
1,0.88,0.11615375252594129
1,0.89,0.11673843961713339
