doy,hour,flow_abs_mean,flow_abs_std,temperature_mean,temperature_std,weight_change_6h_mean,weight_change_6h_std,weight_change_12h_mean,weight_change_12h_std,weight_change_24h_mean,weight_change_24h_std
1,0,0.10193340890587431,0.554112702150402,6.064123432001006,4.443888793545315,-0.026924130434783956,0.14442417017629033,0.08598369565217344,0.4947629928893642,-0.04643920634920596,0.16814191870128642
1,1,0.05941261547656673,0.554112702150402,6.228352423687423,4.634045323505862,-0.02761159420289887,0.14442417017629033,-0.04938163888889028,0.16661889774633346,-0.0478284057971006,0.16814191870128642
1,2,0.11882523095313346,0.554112702150402,6.141431828449329,4.650528594003515,-0.023881159420290527,0.14442417017629033,0.029564770833332272,0.3031657668917686,-0.04591797101449225,0.16814191870128642
1,3,0.0908015380099413,0.554112702150402,6.055404392551893,4.635973839438593,-0.029042826086955974,0.14442417017629033,0.021856944444445265,0.2578635154637624,-0.04566275362318814,0.16814191870128642
1,4,0.32023251213187165,0.554112702150402,5.984800903540905,4.6143216509152385,-0.03628079710144915,0.14442417017629033,-0.05759740972222301,0.16661889774633346,-0.04307753623188404,0.16814191870128642
1,5,0.23759256216755859,0.554112702150402,5.8424197003798675,4.6995467493889445,-0.02693304347826041,0.14442417017629033,-0.048772391304347976,0.16661889774633346,-0.0441195601851847,0.16976046232091838
1,6,0.09883892029088388,0.554112702150402,5.8693099299620135,4.77382906009159,-0.01866096376811392,0.14442417017629033,-0.04558509420289787,0.16661889774633346,-0.044849861111110854,0.16814191870128642
1,7,0.3179035195188817,0.554112702150402,5.820101148504273,4.765730855938779,-0.013865597222222506,0.14442417017629033,-0.04176700000000073,0.16661889774633346,-0.045943194444444245,0.16814191870128642
1,8,0.7437107071376111,0.5973361027241161,5.815576427469136,4.691782964651347,-0.008514106303418423,0.14442417017629033,-0.033020661649944605,0.16661889774633346,-0.04396286324786244,0.16814191870128642
1,9,0.8329355998565782,0.81503333523715,5.954582380698006,4.669413685723941,-0.01547038380615362,0.14442417017629033,-0.04424663237743532,0.16661889774633346,-0.04107009213948635,0.16814191870128642
1,10,1.0121161565943162,0.9467228995592571,6.241467758784425,4.574292017583077,-0.01689214741999893,0.14442417017629033,-0.052736443684635995,0.16661889774633346,-0.03453954325333234,0.17501665314666529
1,11,1.155539583293539,0.9703554243492004,6.586686051756885,4.486918542645843,-0.03537186570360262,0.1455848387202168,-0.05576393615125821,0.17497688196957595,-0.036677744367177745,0.2015253491229422
1,12,1.3537808538123088,1.0718262657013755,6.702144407814409,4.18835540193969,-0.09873676099511726,0.5203625559510935,-0.11922331267584982,0.5425193970409434,-0.03787830659213457,0.7049559093170943
1,13,1.3663548221629178,0.9317222995739513,6.9530694108669095,4.037997124963727,0.019488965935594252,0.14442417017629033,0.00823540896068812,0.16661889774633346,-0.04114622992820216,0.16814191870128642
1,14,1.0873759393941187,1.1443027596448172,7.516105592185591,3.9923829878049415,-0.06107735841575021,0.3459611224810401,-0.07356968798649148,0.38215684324635796,-0.044004917153159205,0.5302901914665309
1,15,0.8329752026119358,1.0288163201914098,7.567743583638584,3.86555658566243,-0.044571225082417815,0.28820253146477587,-0.0676659654892277,0.33266627268559495,-0.045809021044782426,0.47913244149443557
1,16,0.5280153233481586,0.554112702150402,7.029041852869353,3.9367857542117464,0.0411951749175833,0.17244874529103377,0.012826437563594695,0.16661889774633346,-0.04477097215862832,0.16814191870128642
1,17,0.07921682063542232,0.554112702150402,6.821714224664225,4.0365359932086395,0.04761037665026002,0.1826430155411518,0.012478141542340579,0.16661889774633346,-0.03332750720633564,0.16814191870128642
1,18,0.17823784642970023,0.554112702150402,6.722445186202685,4.13925947247406,0.11009134887248202,0.5119427813407174,0.008954014502568164,0.16661889774633346,-0.034632817512349263,0.16814191870128642
1,19,0.11882523095313346,0.554112702150402,6.6434721550671565,4.2433722877908435,-0.01640976223863107,0.14442417017629033,0.005604702277612894,0.16661889774633346,-0.03635896115169501,0.16814191870128642
1,20,0.13862943611198905,0.554112702150402,6.5789570726495725,4.377613122114421,0.06325275362318812,0.36085448671724263,-0.00026898550724597646,0.16661889774633346,-0.033452222222221974,0.16814191870128642
1,21,0.22121148633759374,0.554112702150402,6.457984413919415,4.447120293772731,0.05941666666666719,0.3198189674621411,0.013836376811594388,0.16661889774633346,-0.03259158730158704,0.16814191870128642
1,22,0.2245767159277761,0.554112702150402,6.353470714285715,4.47186571248598,-0.017480652173914465,0.14442417017629033,0.030163405797100907,0.16661889774633346,-0.03195253968253959,0.16814191870128642
1,23,0.11882523095313346,0.554112702150402,6.253347478632477,4.440388722965366,-0.020514202898550656,0.14442417017629033,0.0302449275362325,0.1672492703835657,-0.03091261904761854,0.16814191870128642
2,0,0.0990210257942779,0.554112702150402,6.185083666056166,4.482520978767003,-0.025697608695652224,0.14442417017629033,0.09025905797101508,0.49408196998128473,-0.03426071428571306,0.16814191870128642
2,1,0.057762265046662105,0.554112702150402,6.343775243352327,4.662214006880387,-0.029258840579710402,0.14442417017629033,-0.04684261111111295,0.16661889774633346,-0.039033260869565205,0.16814191870128642
2,2,0.07701635339554948,0.554112702150402,6.262582214506171,4.6759208118946445,-0.025769130434782808,0.14442417017629033,0.03214699305555513,0.30257673267556007,-0.03891492753623097,0.16814191870128642
2,3,0.08827927306522071,0.554112702150402,6.190776095085471,4.653946410490045,-0.031172826086956124,0.14442417017629033,0.023877847222223043,0.2571876894506653,-0.04072898550724625,0.16814191870128642
2,4,0.34984534127042777,0.554112702150402,6.134180508072176,4.6148747012888585,-0.03958644927536263,0.14442417017629033,-0.057637409722223566,0.16661889774633346,-0.041179565217391675,0.16814191870128642
