month,level,score
1,0.0,-0.0950983879395616
1,0.01,0.009290969173544853
1,0.02,0.03622097635445135
1,0.03,0.05091183917488842
1,0.04,0.06742416920050773
1,0.05,0.07887675186733323
1,0.06,0.08909818273051294
1,0.07,0.094008071732911
1,0.08,0.10024537731664769
1,0.09,0.10728928022321346
1,0.1,0.1121760755040848
1,0.11,0.11656387126153019
1,0.12,0.12041015212070873
1,0.13,0.12422968960731054
1,0.14,0.1268750487633515
1,0.15,0.1293612255119763
1,0.16,0.13152406795360055
1,0.17,0.13307945291350648
1,0.18,0.1344574033120759
1,0.19,0.13541798926063914
1,0.2,0.13712764752587703
1,0.21,0.13855602153932559
1,0.22,0.13945898081716754
1,0.23,0.14033718658507288
1,0.24,0.14138418007018094
1,0.25,0.14258464414553845
1,0.26,0.14322785139103344
1,0.27,0.14391695456304462
1,0.28,0.14479523234048325
1,0.29,0.1453808371157962
1,0.3,0.14605805439360936
1,0.31,0.146588200891622
1,0.32,0.14702549360918907
1,0.33,0.14765725744357266
1,0.34,0.1480661095252763
1,0.35,0.14872966223430106
1,0.36,0.14925814966387135
1,0.37,0.14968336526576106
1,0.38,0.15027819551362007
1,0.39,0.15098646252788944
1,0.4,0.15150539146955397
1,0.41,0.1519643935608267
1,0.42,0.15244066660187994
1,0.43,0.15289523357149526
1,0.44,0.15335259476988486
1,0.45,0.15384471415334788
1,0.46,0.15418680439881727
1,0.47,0.1546296129933273
1,0.48,0.15499761160022005
1,0.49,0.15543741342390646
1,0.5,0.15570430572168015
1,0.51,0.15603663443789678
1,0.52,0.15640811306470345
1,0.53,0.15670785036944998
1,0.54,0.15704985695185916
1,0.55,0.15741597742934818
1,0.56,0.1576182141810957
1,0.57,0.15798170798411443
1,0.58,0.15838813586721917
1,0.59,0.15864877374005512
1,0.6,0.15894611615554938
1,0.61,0.15932738349166398
1,0.62,0.15969701087991195
1,0.63,0.15997106689789964
1,0.64,0.1603096961482931
1,0.65,0.1606567349271599
1,0.66,0.16106870898007633
1,0.67,0.16128629578450274
1,0.68,0.16147358071352808
1,0.69,0.1618540620603525
1,0.7,0.1620809129803048
1,0.71,0.16240739941910456
