month,level,score
1,0.0,-0.0765191377683716
1,0.01,0.025597453535172766
1,0.02,0.051105696241048916
1,0.03,0.06846669278999208
1,0.04,0.09074852438773819
1,0.05,0.09671880199570178
1,0.06,0.10271799800813532
1,0.07,0.11056546438660085
1,0.08,0.11520185009899317
1,0.09,0.12107204526406459
1,0.1,0.1253065918318511
1,0.11,0.1296496010256329
1,0.12,0.13403633090347475
1,0.13,0.13762252710780948
1,0.14,0.13983819949685736
1,0.15,0.14280612472022045
1,0.16,0.1448368952427215
1,0.17,0.14714083939409
1,0.18,0.1487436438546532
1,0.19,0.1498701441521518
1,0.2,0.15145459451076593
1,0.21,0.15232607355375072
1,0.22,0.15397395137491118
1,0.23,0.1550669492760634
1,0.24,0.15586680775032546
1,0.25,0.1566283780276958
1,0.26,0.1573849817035111
1,0.27,0.1583422323359602
1,0.28,0.1591377337654933
1,0.29,0.16004541374865078
1,0.3,0.16078594473603547
1,0.31,0.16163229478126956
1,0.32,0.16210066260822184
1,0.33,0.16267221550470543
1,0.34,0.16326719144282745
1,0.35,0.1638569547400206
1,0.36,0.16436619429054428
1,0.37,0.16482808468713828
1,0.38,0.1652492384420045
1,0.39,0.16568543645250153
1,0.4,0.16601919819729416
1,0.41,0.16653018241390913
1,0.42,0.16700431400156546
1,0.43,0.16742312761699163
1,0.44,0.16786509441596315
1,0.45,0.16813808364074265
1,0.46,0.16848879146819445
1,0.47,0.16895025904932887
1,0.48,0.16929721753337731
1,0.49,0.1697156044450504
1,0.5,0.17000852759090115
1,0.51,0.17047746837716934
1,0.52,0.17077394741243096
1,0.53,0.1710523634860736
1,0.54,0.17133919587330496
1,0.55,0.1715957580119209
1,0.56,0.17194818213942564
1,0.57,0.17229324072975385
1,0.58,0.172562070025158
1,0.59,0.1728201104557298
1,0.6,0.17296053583908055
1,0.61,0.17323060645863075
1,0.62,0.17364301455356412
1,0.63,0.1739458905453084
1,0.64,0.17418190146108367
1,0.65,0.17438329681708503
1,0.66,0.1746990061842737
1,0.67,0.17497648206504024
1,0.68,0.175152617332054
1,0.69,0.1753268014235937
1,0.7,0.17560409010148192
1,0.71,0.17586560236737267
1,0.72,0.17616959828412077
1,0.73,0.17637823033182853
1,0.74,0.17655806698836338
1,0.75,0.17671764203888804
1,0.76,0.17694526569713057
1,0.77,0.17722277331979472
1,0.78,0.17747896620611928
1,0.79,0.1776846087300079
1,0.8,0.17793893169546623
1,0.81,0.1782415095937731
1,0.82,0.17846448651391875
1,0.83,0.17862232198018835
1,0.84,0.17891701781040786
1,0.85,0.17920855553511178
1,0.86,0.17947379527249097
1,0.87,0.17981835758640616
1,0.88,0.1800011170707792
1,0.89,0.1802422446347912
1,0.9,0.18043975455842176
1,0.91,0.18079283260574447
1,0.92,0.18105933975667265
1,0.93,0.18145637683491375
1,0.94,0.18194616294604055
1,0.95,0.1823378631315095
1,0.96,0.18295121350623963
1,0.97,0.18337445337726083
1,0.98,0.18413541891319726
1,0.99,0.18533936590324165
1,1.0,0.18916892125743268
2,0.0,-0.04279052502647196
2,0.01,0.07644738053629159
2,0.02,0.09249157258771992
2,0.03,0.10332293451862687
